Sent,Nc-type,Nc-token,sentPrev,sentNC,sentPost,Source
1,aire libre,aire libre,"“BFF é o Festival de música e deportes de acción mais importante de Ferrol, onde pensamos reunir cada ano cerca de 120.000 persoas para gozar das competicións, exhibicións, concertos, gastronomía e o ambiente único que se xenera.","O Festival celébrase na praia de Doniños (Ferrol), ao aire libre e é totalmente gratuito.",Conta con concertos ao aire libre e sesións de DJs durante toda a noite que completan a programación.,gl_cc-100
2,aire libre,aire libre,"Neste último municipio recomendamos visitar tamén a Ferreiría de Bogo, un conxunto etnográfico formado por un encoro, unha fervenza, a canle de alimentación, un muíño artesanal, a fragua con mazo e foles e unha central eléctrica e no que se poderán coñecer aspectos interesantes da vida dos nosos antepasados.","Ademais, as áreas recreativas son unha constante ó longo do curso do río Eo onde desfrutar da natureza e das actividades ó aire libre como a pesca ou a natación.","Comer: o porco e os seus derivados, principalmente o butelo, as carnes de caza, como o corzo e o xabarín, e os peixes de río, como o salmón, a lamprea, a troita, o reo ou a anguía, son os produtos típicos da gastronomía desta zona.",gl_cc-100
3,aire libre,aire libre,"De feito, a Festa do Marisco aspira a obter o recoñecemento de Interese Turístico Internacional e deuse a coñecer en países coma Italia e Francia con diversos eventos promocionais.","A oferta e calidade dos produtos do mar compleméntanse cunha programación cultural na que destacan os showcookings, os concertos e o simposio de escultura ao aire libre, un certame bienal que convida a artistas de todo o mundo a esculpir as súas obras en contacto co público do Grove.",As mellores pezas son premiadas e pasan a formar parte do patrimonio municipal.,gl_cc-100
4,aire libre,aire libre,O 43% das persoas participantes no encontro están pouco satisfeitas cos espazos verdes que hai nas zonas onde viven.,"Nun 37% pensan que os municipios -o evento programouse para os 21 concellos do Eume, Ferrol e Ortegal- deberían ter unha mellor conectividade peonil e ciclista e que deberían existir máis espazos para actos colectivos ao aire libre.","A enquisa tamén revela que para case un 40% das persoas que participaron nela o impacto máis importante sobre a natureza e a paisaxe son as plantacións forestais con especies alóctonas, seguido da degradación producida polo abandono dos espazos verdes.",gl_cc-100
5,aire libre,aire libre,Ten unha duración dunha semana e vai destinado a un total de 40 nenos e adultos con trastorno autista.,"Así, mentres as familias poden descansar do forte estrés que supón o coidado destes nenos e nenas, os rapaces e rapazas, sempre acompañados por persoal especializado, poderán desfrutar dun tempo de lecer no que se desenvolverán actividades de xogo ao aire libre como sendeirismo, excursións á praia e a parques temáticos, deportivas, saídas culturais e mesmo sesións de cine.","Por outra banda, e sen descoidar o compoñente lúdico do campamento, coas actividades deseñadas tamén se pretende o traballo e fomento nos coidados persoais cotidianos, así como nos hábitos e nas costumes sociais, a través da convivencia e da participación activa de tarefas domésticas e de autonomía personal.",gl_cc-100
6,aire libre,aire libre,Durante os tres días non tiveron tempo para o aburrimento debido en gran medida as actividades organizadas presentes no privilexiado lugar.,"Durante o primeiro día os nenos coñeceron aos compañeiros chegados do outro centro de Vigo, todos xuntos compartiron xogos e degustaron unha cea no recinto o aire libre na que intercambiaron impresións.",A segunda xornada estivo cargada de emocións nas que todos sen excepcións desfrutaron a primeira hora da maña da paixón pola velocidade nun circuíto de karts profesional.,gl_cc-100
7,aire libre,aire libre,A entrada é de balde.,O cine ao aire libre continuará durante todo o mes coa proxección dos filmes ‘Una familia feliz’ (venres 20 na Praza do Seixo) e ‘La razón de estar contigo’ (venres 27 na Praza da Mina).,"Todas as sesións están dirixidas a público familiar, comezarán ás 22.30 horas e terán entrada gratuíta.",gl_cc-100
8,aire libre,aire libre,As privadas ofrecen tratamentos de relaxación e de tratamentos de beleza.,"Tamén se pode gozar dun circuíto termal, piscinas termais ao aire libre, saunas etc.",As súas augas presentan unha variedade de temperaturas.,wiki
9,aire libre,aire libre,"A estación megalítica de Katillotxu sitúase no cordal homónimo, sobre a desembocadura da ría de Mundaka, na marxe occidental da conca de Urdaibai.",Engloba un conxunto arqueolóxico composto por cinco dólmenes e dous asentamentos ao aire libre de cronoloxía Neolítico avanzado-Calcolítico.,O dolmen de Katillotxu V1 foi descuberto o 22 de xaneiro de 2002 por membros de AGIRI Arkeologia Kultura Elkartea.,gl_cc-100
10,aire libre,aire libre,"O concello das Pontes súmase, por primeira vez, á celebración do Día Internacional do Ioga.","Será o 21 de xuño, a partir das 19:00 horas, no Parque Municipal, cunha clase ó aire libre, de balde, na que poderán participar todas as persoas que o desexen.","O obxectivo desta actividade, dirixida por unha profesora titulada e que terá unha duración aproximada de dúas horas, é achegar ós veciños á experiencia da práctica do ioga para que poidan coñecer, de primeira man, algúns dos beneficios que esta disciplina ten no corpo e na mente.",gl_cc-100
11,aire libre,aire libre,"A verdade é que a xornada escolar dun neno ou nena de 4 anos é movida, moitas actividades e ben diversas.","Só unhas primeiras imaxes dunha sesión de lectura ao aire libre, haberá máis se o tempo o permite.","Xa irán aparecendo vídeos, fotos, grabacións de audio das conversas na clase, actividades na pizarra dixital ...",gl_cc-100
12,aire libre,aire libre,"No primeiro andar sitúase a biblioteca, con máis de 300 metros cadrados, e dúas aulas de distintas dimensións.","Polo que respecta ao parque biosaudable, vén completar a rede de instalacións realizadas en distintas parroquias e destinadas á práctica de deporte, sobre todo por parte da xente maior, ao aire libre, pois únese aos xa existentes no paseo marítimo de Barraña, paseo marítimo de Escarabote e Cabo de Cruz.","Cabe lembrar, igualmente, que o Centro Social de Abanqueiro pasa a formar parte da Rede Boirense de Centros Sociais, unha aposta do executivo boirense por dotar a tódalas parroquias deste tipo de servizos, a través da cal se puxeron en marcha os de Cures, Cespón, Moimenta e Ponte Beluso.",gl_cc-100
13,aire libre,aire libre,"A Concellaría de Deportes, ocio, tempo libre e xuventude ten como obxectivo primordial promover e apoiar o deporte no noso concello.","E tamén dispoñemos de instalacións deportivas na zona do Bañadoiro, o pavillón polideportivo, o campo de fútbol e as piscinas ao aire libre á beira do río Sil, que nos permiten practicar deportes nun medio axeitado.","Agradecemos a todos os veciños e veciñas, asociacións e empresas deste concello toda a súa axuda desinteresada nestas actividades xa que grazas a eles fan posible que a actividade deportiva en Vilamartín estea máis viva ca nunca e en fase de crecemento constante.",gl_cc-100
14,aire libre,aire libre,"Estes enclaves están moi próximos ao parque marítimo-terrestre das Illas Atlánticas de Galicia e constitúen, sen dúbida, un lugar máxico de incomparable valor.","Neste espectacular museo xeolóxico ao aire libre, atópanse espectaculares acantilados de máis de 150 metros sobre o nivel do mar, con formacións rochosas particulares (furnas) e con espectaculares vistas ás Illas Cíes.",O Monte do Castro é un dos lugares máis coñecidos de Vigo polas impresionantes vistas á ría que se poden observar dende o seu cumio.,gl_cc-100
15,aire libre,aire libre,"Os contos ensinan sen dar leccións, os cativxs aprenden dese xeito da súa propia reflexión… Este libro que fala de sentimentos ten ademais unha mensaxe pedagóxica que anima a comer froitas e verduras ós máis pequenxs.","Para completar a roda de hábitos saudables, na zona ó aire libre os rapaces puideron facer da actividade física un xogo saudable e divertido, inculcándolles ademais dunha alternativa sa, certos valores e normas de conduta.",Xogos de carreiras e movemento.,gl_cc-100
16,aire libre,aire libre,Balonmán na Cidade de Lugo - O rexurdir dunha pasión.,Actividades ao aire libre para nenos.,I Xornada de Educación para a Saúde Integral e Comunitaria.,gl_cc-100
17,aire libre,aire libre,"A só 3.700 metros de Outariz atópase o Camping municipal de Untes, cunha completa oferta de acampada e bungalows, e totalmente adaptado para persoas con mobilidade reducida.","As termas da Chavasqueira son un conxunto de pequenas piscinas termais ao aire libre de acceso libre e gratuíto situadas nas marxes fluviais do Miño, nun entorno axardinado.",Coñecidas desde antigo como “Caldas do Bispo” polo clérigo que... leer más,gl_cc-100
18,aire libre,aire libre,Lembramos aquí tres principais:,"– “A festa do Monte”, no propio recinto de Beade e co fin de que todos os comuneiros e veciñanza de Beade poidan gozar dunha festa ao aire libre, lonxe das tensións acumuladas durante todo o ano.","A xornada comeza sobre as once da mañá, co reparto gratuíto de sardiñas e pan de millo, ata a unha da tarde, para todos aqueles que gocen da súa degustación.",gl_cc-100
19,aire libre,aire libre,"Destacou tamén que “mediante estas actividades, pretendemos incentivar o interese pola riqueza da nosa provincia, tanto natural como patrimonial, ao tempo que concienciamos á cidadanía a unha práctica responsable co medio ambiente”.","O Deputado lembrou que esta oferta de programación baséase “no interese que esperta na xente este tipo de iniciativas, que lle ofrece á poboación unha alternativa diferente, lúdica e tamén formativa, e totalmente gratuíta”, resaltou a “importancia de actividades ao aire libre e relacionadas coa natureza para afianzar o vencello entre os máis pequenos e a natureza”.",As persoas interesadas en participar nalgunha das actividades programadas deberán reservar a súa praza a través do correo electrónico und.medioambiente@deputacion.org e poden tamén chamar aos teléfonos 982 227 812 ou 982 305 930 para obter máis información.,gl_cc-100
20,aire libre,aire libre,"O roteiro comeza en Proendos, a 2 km de Sober pola estrada que une a capitalidade municipal con Doade.",Proendos é un museo ó aire libre.,"Aconsellamos, antes de iniciar a andaina, percorrer este fermoso pobo.",gl_cc-100
1,ataque cardíaco,ataque cardíaco,"Pero a inestabilidade política, e o Partido da Nai Patria fíxose cada vez máis corrupto.",Turgut Özal morreu dun ataque cardíaco en 1993 e Demirel Suleyman foi elixido presidente.,"As eleccións 1995 conduciron a unha coalición de goberno efémera entre o Partido da Nai Patria de Yilmaz e o Partido do Camiño Verdadeiro, agora con Tansu Ciller como líder.",gl_cc-100
2,ataque cardíaco,ataque cardíaco,Interpretou máis de 200 personaxes e foi o máis coñecido actor secundario do cinema ruso.,"En 1991 (ou en 1988), cando facía unha xira en Alemaña, sufriu un ataque cardíaco masivo que o deixou en coma durante 10 ou 16 días.",A súa vida foi salvada logo dunha cirurxía importante e en canto Leonov se recuperou comezou a poñer datas a novas interpretacións no teatro Lenkom.,wiki
3,ataque cardíaco,ataque cardíaco,"Era oficialmente prisioneiro do grupo que fundara catro décadas atrás, os ""Khmers Vermellos"".","Os informes oficiais establecen que a súa morte debeuse a un ataque cardíaco, pero os rumores dun atentado á súa vida se presentaron como unha posibilidade.","O seu corpo foi incinerado nunha fogueira de coches vellos, nun lugar ó norte do país preto de onde morreu, e que posteriormente foi rodeado por unha barreira de láminas de ferro.",gl_cc-100
4,ataque cardíaco,ataque cardíaco,"O 9 de maio dese mesmo ano da morte de Xoán Paulo I, 1978, fora asasinado o primeiro ministro de Italia, Aldo Moro, líder da Democracia Cristiá.","As estrañas circunstancias do deceso de Albino Luciani -un ataque cardíaco, para alguén que gozaba de boa saúde- e outros sucesos misteriosos, como que a defunción non fose certificada polo forense vaticano, senón por outro, e o precipitado do seu embalsamamento, dispararon a teoría de que en realidade Xoán Paulo I foi asasinado.","A dobre confesión da monxa, Sor Vicenza Taffarel, quen atopou o cadáver do Sumo Pontífice (nunha primeira versión: vestido aínda, no seu baño, posiblemente no chan, onde vomitou; e a outra: na súa cama, con documentos desordenados e as lentes caídas do seu rostro, xa desposuído do hábito papal) inducen a pensar que foi envelenado.",gl_cc-100
5,ataque cardíaco,ataque cardíaco,"En 2008, voou aos Estados Unidos dende Rusia durante a gravación de ""Ice Age 2"" co fin de protagonizar ""Skate for the Heart"" por segunda vez.","Esta vez dedicou o número á memoria do seu pai, Alexander Gordeev, quen morreu dun ataque cardíaco en 2008.","Ademais da patinaxe, Gordeeva atreveuse co adestramento e a coreografía.",wiki
6,ataque cardíaco,ataque cardíaco,"En 1940, o presidente Lázaro Cárdenas anulou a súa expulsión.",Morreu dun ataque cardíaco o 5 de xaneiro de 1942 no interior dun taxi.,"Xunto con Weston, foi mentora do fotógrafo mexicano Manuel Álvarez Bravo.",gl_cc-100
7,ataque cardíaco,ataque cardíaco,"Crendo que se trata dela, desespera e baixa do tranvía no seu desexo por darlle alcance.","Afectado pola intensidade de semellante emoción, falece dun ataque cardíaco.","O enterro de Yuri Zhivago, moi concorrido en razón do amor á poesía que detenta o pobo ruso, transfórmase en lugar de encontro do seu medio irmán Yevgraf e de Lara.",gl_cc-100
8,ataque cardíaco,ataque cardíaco,"Froitas, verduras e peixe tamén son cousa de nenos","Hipertensión arterial, isquemia cerebral e aumento do risco de sufrir un ataque cardíaco son algunhas das consecuencias de abusar deste condimento",Alegrar a comida a golpe de saleiro é un xesto tan cotián e popular como o de beliscar o pan antes de xantar.,gl_cc-100
9,ataque cardíaco,ataque cardíaco,"En casos extremos, pode provocar unha arritmia maligna ou morte cardíaca súbita.","Criterios de diferenciación importantes nas arritmias cardíacas son, por unha banda, o seu lugar de orixe (atrio ou ventrículo) e, por outro, a súa duración, así como a cuestión de se se producen no contexto dunha enfermidade cardíaca aguda, por exemplo, nun ataque cardíaco ou nun corazón corrompido.","Basicamente, as arritmias cardíacas que teñen orixe no atrio son de natureza inofensiva, mentres que as arritmias cardíacas que se desenvolven no ventrículo ás veces poden ameazar a vida, especialmente nas enfermidades cardíacas orgánicas avanzadas.",gl_cc-100
10,ataque cardíaco,ataque cardíaco,"Aparece brevemente en Boa Vista Social Club de Wim Wenders, en 1999, aínda que non estea presente nos créditos.","Alberto Korda cede a un ataque cardíaco en París, en 2001, mentres que presentaba unha exposición da súa obra.",Esta enterrado no Colon Cemetery da Habana.,gl_cc-100
11,ataque cardíaco,ataque cardíaco,Parece poder ter un maior impacto fisiolóxico en persoas VIH-positivas.,"Por exemplo, un estudo danés moi completo comparou o risco de ataque cardíaco en persoas que viven con VIH e as persoas na poboación en xeral.","Correspondendo persoas da mesma idade e xénero, descubriu que os fumadores actuais que vivían co VIH tiñan un risco case tres veces maior de sufrir infarto en comparación con fumadores que eran VIH negativos.",gl_cc-100
12,ataque cardíaco,ataque cardíaco,"Nos últimos meses da súa vida, Simeón estaba a preparar un novo asedio a Constantinopla a pesar dos desesperados chamamentos de paz por parte de Romano.","O 27 de maio de 927, faleceu dun ataque cardíaco no seu palacio de Preslav.",Os cronistas bizantinos relatan unha lenda segundo a cal o emperador búlgaro morreu ao mesmo tiempo que Romano decapitou unha estatua de Simeón.,wiki
13,ataque cardíaco,ataque cardíaco,"Ademais, apareceu en documentais que retratan a ""época dourada"" dos estudos de Hollywood.","Charisse, unha artista voluptuosa e atlética, cunha espléndida figura até idade avanzada, ingresou no Cedars-Sinai Medical Center nos Ánxeles o 16 de xuño de 2008 despois de sufrir un aparente ataque cardíaco.",Morreu na mañá seguinte á idade de 86 anos.,wiki
1,auditoría externo,auditoría externa,"A ACSUG renova as certificacións do seu Sistema de Xestión da Calidade e do Medio Ambiente nas normas ISO 9001, ISO 14001 e Regulamento EMAS.",A empresa AENOR levou a cabo en 2018 a auditoría externa de renovación da certificación do sistema de xestión da ACSUG.,"Como resultado da auditoría, a ACSUG renovou ata 2021, as certificacións na norma ISO 9001:2015, norma ISO 14001:2015 e regulamento EMAS.",gl_cc-100
2,auditoría externo,auditoría externa,"O Padroado elaborará e remitirá ao Protectorado, nos últimos tres meses de cada exercicio, un plan de actuación, no que queden reflectidos os obxectivos, as actividades que prevexa desenvolver durante o exercicio seguinte, unha previsión das partidas de ingresos e gastos calculados e unha memoria explicativa do referido plan de actuación.","Someteranse, no seu caso, a auditoría externa as contas da Fundación, nos supostos e coa periodicidade que a normativa vixente sinale.",O exercicio económico da Fundación iniciarase o 1 de xaneiro e rematará o 31 de decembro de cada ano.,gl_cc-100
3,auditoría externo,auditoría externa,O Pleno da a súa autorización e conformidade.,"Aprobación, se procede, da contratación dun informe de auditoría externa e memorando de recomendacións das contas da UVigo (exercicio 2017 e seguintes), consonte o disposto na Lei 6/2013, do 13 de xuño, do SUG (artigo 75.3).",O Pleno da a súa aprobación.,gl_cc-100
4,auditoría externo,auditoría externa,"Consideraranse actuacións subvencionables as dirixidas á mellora da calidade turística mediante procesos de primeira certificación, seguimento e/ou renovación da marca de Calidade Turística Q do ICTE, correspondentes ao ano 2018 e que se inicien a partir do 1 de xaneiro de 2018.","Os custos de auditoría externa de certificación, seguimento e/ou renovación do sistema, facturados por entidade auditora acreditada polo ICTE para a realización da auditoría de certificación, seguimento ou renovación.","Só se terán en conta as xustificacións de gasto con data da auditoría de certificación posterior; quedan excluídos os gastos xerados polo persoal dependente dos establecementos, así como aqueles gastos en que incorra o solicitante durante o proceso de implantación da correspondente norma UNE.",gl_cc-100
5,auditoría externo,auditoría externa,"Foi a que marcou a súa xestión na Consellería de Facenda, onde topou co proceso inicial da fusión das caixas galegas.","En xaneiro de 2010, Fernández Currás presentaba en solemne rolda de prensa a ""auditoría externa encargada pola Xunta de Galicia a KPMG"", un estudo ""independente"" que, previo pago dun millón de euros, avalaba a ""solvencia da fusión das caixas galegas"", que producirían unha ""rendibilidade e eficiencia altas"".","A tan repetida ""solvencia e galeguidade"" da que tirarían PP e Executivo para xustificar a unión e que defendería durante meses e con teimosía a daquela conselleira.",gl_cc-100
6,auditoría externo,auditoría externa,"Presentaránse asinadas pola presidencia, ou pola persoa á que segundo os estatutos lle corresponda formulalas.","As contas anuais someteranse á auditoría externa, remitindo ó protectorado o informe da mesma xunto coas contas anuais, nos casos previstos legalmente.",O exercicio económico da fundación iníciase o 1 de setembro e remata o 31 de agosto.,gl_cc-100
7,auditoría externo,auditoría externa,A Cámara de Comercio de Santiago analizará os modelos de xestión na prestación de servizos públicos nunha xornada que se celebrará o vindeiro martes,A Cámara de Comercio de Santiago convoca unha oferta pública para a contratación dunha auditoría externa para o proxecto Lidera,A Cámara de Comercio de Santiago intensifica a internacionalización das empresas con nove accións de comercio exterior neste último trimestre do ano,gl_cc-100
8,auditoría externo,auditoría externa,"Todas as iniciativas para fusionarse con entidades doutras comunidades serían vetadas polo Goberno galego, que apostaba pola integración das dúas grandes caixas.",O discurso a prol da fusión apoiouse nunha auditoría externa encargada pola Xunta e practicada pola consultora internacional KPMG.,"A finais de xaneiro de 2010, a conselleira de Economía e Facenda, Marta Fernández Currás, presentaba o resultado das indagacións dos expertos privados: o proceso de fusión mantería a solvencia e aseguraría a galeguidade.",gl_cc-100
